lat,lon,h
21.5,119.5,17.604
21.5,119.51,17.602
21.5,119.52,17.601
21.5,119.53,17.6
21.5,119.54,17.6
21.5,119.55,17.6
21.5,119.56,17.601
21.5,119.57,17.603
21.5,119.58,17.605
21.5,119.59,17.608
21.5,119.6,17.611
21.5,119.61,17.615
21.5,119.62,17.619
21.5,119.63,17.623
21.5,119.64,17.628
21.5,119.65,17.632
21.5,119.66,17.637
21.5,119.67,17.642
21.5,119.68,17.647
21.5,119.69,17.652
21.5,119.7,17.658
21.5,119.71,17.665
21.5,119.72,17.672
21.5,119.73,17.68
21.5,119.74,17.689
21.5,119.75,17.7
21.5,119.76,17.71
21.5,119.77,17.722
21.5,119.78,17.734
21.5,119.79,17.747
21.5,119.8,17.76
21.5,119.81,17.772
21.5,119.82,17.785
21.5,119.83,17.797
21.5,119.84,17.809
21.5,119.85,17.821
21.5,119.86,17.832
21.5,119.87,17.844
21.5,119.88,17.855
21.5,119.89,17.867
21.5,119.9,17.88
21.5,119.91,17.893
21.5,119.92,17.908
21.5,119.93,17.923
21.5,119.94,17.94
21.5,119.95,17.959
21.5,119.96,17.979
21.5,119.97,18
21.5,119.98,18.022
21.5,119.99,18.045
21.5,120,18.068
21.5,120.01,18.091
21.5,120.02,18.114
21.5,120.03,18.137
21.5,120.04,18.158
21.5,120.05,18.179
21.5,120.06,18.199
21.5,120.07,18.219
21.5,120.08,18.238
21.5,120.09,18.256
21.5,120.1,18.274
21.5,120.11,18.292
21.5,120.12,18.311
21.5,120.13,18.331
21.5,120.14,18.352
21.5,120.15,18.374
21.5,120.16,18.397
21.5,120.17,18.422
21.5,120.18,18.448
21.5,120.19,18.475
21.5,120.2,18.503
21.5,120.21,18.532
21.5,120.22,18.562
21.5,120.23,18.592
21.5,120.24,18.623
21.5,120.25,18.654
21.5,120.26,18.684
21.5,120.27,18.715
21.5,120.28,18.747
21.5,120.29,18.779
21.5,120.3,18.811
21.5,120.31,18.844
21.5,120.32,18.878
21.5,120.33,18.914
21.5,120.34,18.95
21.5,120.35,18.988
21.5,120.36,19.026
21.5,120.37,19.065
21.5,120.38,19.104
21.5,120.39,19.143
21.5,120.4,19.181
21.5,120.41,19.218
21.5,120.42,19.253
21.5,120.43,19.286
21.5,120.44,19.317
21.5,120.45,19.345
21.5,120.46,19.371
21.5,120.47,19.394
21.5,120.48,19.415
21.5,120.49,19.434
21.5,120.5,19.453
21.5,120.51,19.471
21.5,120.52,19.49
21.5,120.53,19.511
21.5,120.54,19.533
21.5,120.55,19.559
21.5,120.56,19.587
21.5,120.57,19.619
21.5,120.58,19.655
21.5,120.59,19.694
21.5,120.6,19.736
21.5,120.61,19.781
21.5,120.62,19.828
21.5,120.63,19.876
21.5,120.64,19.924
21.5,120.65,19.972
21.5,120.66,20.019
21.5,120.67,20.065
21.5,120.68,20.108
21.5,120.69,20.15
21.5,120.7,20.19
21.5,120.71,20.228
21.5,120.72,20.264
21.5,120.73,20.3
21.5,120.74,20.335
21.5,120.75,20.37
21.5,120.76,20.406
21.5,120.77,20.442
21.5,120.78,20.48
21.5,120.79,20.519
21.5,120.8,20.559
21.5,120.81,20.6
21.5,120.82,20.641
21.5,120.83,20.682
21.5,120.84,20.723
21.5,120.85,20.763
21.5,120.86,20.8
21.5,120.87,20.836
21.5,120.88,20.869
21.5,120.89,20.899
21.5,120.9,20.926
21.5,120.91,20.951
21.5,120.92,20.974
21.5,120.93,20.995
21.5,120.94,21.015
21.5,120.95,21.035
21.5,120.96,21.056
21.5,120.97,21.078
21.5,120.98,21.101
21.5,120.99,21.127
21.5,121,21.156
21.5,121.01,21.188
21.5,121.02,21.222
21.5,121.03,21.26
21.5,121.04,21.299
21.5,121.05,21.341
21.5,121.06,21.383
21.5,121.07,21.426
21.5,121.08,21.469
21.5,121.09,21.511
21.5,121.1,21.552
21.5,121.11,21.59
21.5,121.12,21.626
21.5,121.13,21.658
21.5,121.14,21.688
21.5,121.15,21.716
21.5,121.16,21.74
21.5,121.17,21.762
21.5,121.18,21.783
21.5,121.19,21.802
21.5,121.2,21.821
21.5,121.21,21.84
21.5,121.22,21.859
21.5,121.23,21.881
21.5,121.24,21.905
21.5,121.25,21.932
21.5,121.26,21.963
21.5,121.27,21.998
21.5,121.28,22.037
21.5,121.29,22.081
21.5,121.3,22.131
21.5,121.31,22.185
21.5,121.32,22.244
21.5,121.33,22.309
21.5,121.34,22.377
21.5,121.35,22.451
21.5,121.36,22.528
21.5,121.37,22.61
21.5,121.38,22.696
21.5,121.39,22.785
21.5,121.4,22.878
21.5,121.41,22.974
21.5,121.42,23.075
21.5,121.43,23.179
21.5,121.44,23.287
21.5,121.45,23.399
21.5,121.46,23.515
21.5,121.47,23.635
21.5,121.48,23.758
21.5,121.49,23.885
21.5,121.5,24.013
21.5,121.51,24.143
21.5,121.52,24.272
21.5,121.53,24.401
21.5,121.54,24.526
21.5,121.55,24.647
21.5,121.56,24.762
21.5,121.57,24.868
21.5,121.58,24.965
21.5,121.59,25.051
21.5,121.6,25.124
21.5,121.61,25.185
21.5,121.62,25.233
21.5,121.63,25.267
21.5,121.64,25.288
21.5,121.65,25.296
21.5,121.66,25.293
21.5,121.67,25.28
21.5,121.68,25.258
21.5,121.69,25.229
21.5,121.7,25.194
21.5,121.71,25.155
21.5,121.72,25.113
21.5,121.73,25.069
21.5,121.74,25.024
21.5,121.75,24.979
21.5,121.76,24.934
21.5,121.77,24.889
21.5,121.78,24.846
21.5,121.79,24.802
21.5,121.8,24.76
21.5,121.81,24.718
21.5,121.82,24.676
21.5,121.83,24.634
21.5,121.84,24.592
21.5,121.85,24.551
21.5,121.86,24.511
21.5,121.87,24.472
21.5,121.88,24.434
